0,0,76.4081,9.4653,5.19813
0,1,68.8805,9.00664,8.66798
0,2,44.6353,7.44074,4.43881
0,3,39.5233,6.81738,3.4779
0,4,120.579,11.7227,9.7222
0,5,37.8257,6.64638,4.26967
1,0,91.1354,10.3375,7.06606
1,1,70.388,9.14396,9.13816
1,2,55.3755,8.28399,6.29389
1,3,55.6518,8.02173,5.93929
1,4,103.674,10.9693,5.96413
1,5,32.9151,6.25179,5.14808
2,0,53.652,8.02172,5.80945
2,1,60.0616,8.36292,4.67201
2,2,44.1716,7.33679,2.50661
2,3,40.9062,6.86249,2.96373
2,4,72.3005,9.14874,4.77705
2,5,33.4992,6.2049,2.65188
3,0,90.2802,10.4747,7.39427
3,1,59.1009,8.53809,6.50986
3,2,50.8819,8.06958,4.57767
3,3,45.4369,7.38669,6.04366
3,4,104.394,11.1178,9.72875
3,5,27.7586,5.85161,4.93453
4,0,37.3097,7.11971,6.10215
4,1,29.2402,6.38434,3.17977
4,2,41.9472,7.48684,3.36811
4,3,30.0505,6.16032,4.96251
4,4,80.3944,9.98026,10.3093
4,5,31.0356,6.24214,3.20836
5,0,58.7546,8.55835,5.09462
5,1,53.3535,8.16373,4.46599
5,2,45.5474,7.64543,3.15778
5,3,36.8139,6.72206,5.08836
5,4,91.3624,10.5184,8.40903
5,5,35.1068,6.54929,8.47993
6,0,68.1258,9.04844,4.883
6,1,49.7856,7.88761,6.09393
6,2,41.0574,7.13741,6.41067
6,3,22.7841,5.40518,3.56505
6,4,88.2345,10.1865,4.78754
6,5,37.885,6.64191,6.55708
7,0,48.2997,7.59607,3.13066
7,1,39.835,6.9401,3.03095
7,2,32.6017,6.27681,2.842
7,3,26.5067,5.61189,2.11484
7,4,58.9352,8.31052,4.88524
7,5,31.0072,5.91548,5.48568
8,0,61.0403,8.42376,4.08634
8,1,51.9334,7.75027,5.12134
8,2,46.6559,7.43936,2.77163
8,3,25.6398,5.51001,2.76492
8,4,79.581,9.50889,4.08975
8,5,34.7639,6.26387,7.90709
