0,0,149.851,18.5633,11.6983
0,1,127.138,16.6243,16.978
0,2,88.0702,14.6814,9.16448
0,3,70.9501,12.2382,6.90108
0,4,194.821,18.9405,15.4441
0,5,50.5527,8.88266,5.47232
1,0,163.801,18.58,14.1376
1,1,125.858,16.35,17.1906
1,2,99.7604,14.9238,11.5731
1,3,90.6946,13.0728,10.3046
1,4,161.884,17.1283,8.9337
1,5,42.4561,8.06397,6.49226
2,0,89.1016,13.3219,10.5967
2,1,102.756,14.3076,9.63578
2,2,70.2762,11.6727,5.0426
2,3,68.9126,11.5609,6.14334
2,4,105.96,13.4079,7.12711
2,5,41.1433,7.62081,3.1292
3,0,160.773,18.6536,14.5808
3,1,101.068,14.601,11.8865
3,2,81.036,12.8518,7.49409
3,3,72.2537,11.7463,10.0114
3,4,144.136,15.3502,13.1811
3,5,33.5003,7.06197,5.85453
4,0,82.416,15.7272,13.7892
4,1,62.682,13.6861,7.29848
4,2,91.763,16.3781,7.41867
4,3,64.3915,13.2002,10.9563
4,4,146.99,18.2475,18.574
4,5,47.6324,9.58023,4.54951
5,0,123.639,18.0095,11.8763
5,1,105.836,16.1942,10.2215
5,2,86.009,14.4372,6.44694
5,3,69.1459,12.6258,10.0205
5,4,154.322,17.7669,14.0809
5,5,49.2191,9.18199,11.7901
6,0,141.743,18.8263,11.8249
6,1,100.468,15.9173,13.273
6,2,76.4365,13.2877,12.3723
6,3,42.5352,10.0908,6.92819
6,4,152.502,17.6061,8.67442
6,5,55.108,9.66141,9.50954
7,0,125.305,19.7066,10.8051
7,1,99.209,17.2843,9.78234
7,2,65.2002,12.553,6.69914
7,3,56.8125,12.0281,5.56625
7,4,111.13,15.6705,9.61688
7,5,49.2078,9.38775,8.71583
8,0,196.997,27.1862,18.298
8,1,161.086,24.0396,19.9375
8,2,127.611,20.3477,11.3673
8,3,63.9859,13.7506,8.17669
8,4,177.715,21.2347,11.1583
8,5,60.8769,10.969,13.9676
