0,0,83,9.11043,3.24779
0,1,75,8.66025,8.50501
0,2,50,7.07107,4.65497
0,3,43,6.55744,3.45716
0,4,129,11.3578,9.62884
0,5,41,6.40312,4.38421
1,0,99,9.94987,5.93836
1,1,77,8.77496,9.29181
1,2,62,7.87401,6.89841
1,3,60,7.74597,6.23365
1,4,112,10.583,6.199
1,5,36,6,5.55838
2,0,59,7.68115,5.61079
2,1,65,8.06226,3.84027
2,2,49,7,2.40763
2,3,44,6.63325,2.91402
2,4,78,8.83176,4.84103
2,5,36,6,2.63954
3,0,100,10,6.45536
3,1,66,8.12404,6.50438
3,2,58,7.61577,4.99877
3,3,50,7.07107,6.51325
3,4,114,10.6771,10.3929
3,5,31,5.56776,5.44487
4,0,44,6.63325,6.82699
4,1,35,5.91608,3.37
4,2,49,7,3.68202
4,3,34,5.83095,5.52572
4,4,90,9.48683,11.3614
4,5,35,5.91608,3.46504
5,0,66,8.12404,4.37017
5,1,60,7.74597,3.79148
5,2,52,7.2111,3.09711
5,3,41,6.40312,5.46822
5,4,101,10.0499,8.74956
5,5,39,6.245,9.31118
6,0,75,8.66025,3.83118
6,1,56,7.48331,6.27982
6,2,46,6.78233,7.08556
6,3,26,5.09902,4.00881
6,4,96,9.79796,4.87946
6,5,41,6.40312,7.00828
7,0,53,7.28011,2.05456
7,1,44,6.63325,2.49351
7,2,36,6,2.96332
7,3,29,5.38516,2.14775
7,4,64,8,5.09592
7,5,33,5.74456,5.7529
8,0,66,8.12404,2.6566
8,1,56,7.48331,4.67992
8,2,51,7.14143,2.57164
8,3,28,5.2915,2.88075
8,4,85,9.21954,3.75064
8,5,37,6.08276,8.32809
