bin,muPlus,statPlus,systPlus1,systPlus2
0.1-0.35,810,35,29,24
0.35-0.6,712,32,25,25
0.6-0.8,588,29,19,17
0.8-1.05,692,31,23,22
1.05-1.3,590,32,20,26
1.3-1.55,558,30,17,19
1.55-1.85,551,31,13,25
1.85-2.1,394,28,9.1,14
2.1-2.4,419,32,11,20
