0.1-0.35,0-5,147,83,75.1,5,1,1,11,1.4,0.07,0.5,1.1,2.2,2,2.5,3,0.9,5.17,9.27
0.1-0.35,5-10,129,75,70,3,1,1,11.5,2.4,0.18,0.5,3.3,4.1,2,2.5,3,0.9,6.93,7.84
0.1-0.35,10-15,90,50,45.6,3,0.9,0.8,14.1,4.5,0.25,0.5,4.1,3.5,2,2.5,3,0.9,7.01,9.56
0.1-0.35,15-20,72.8,43,40.5,1,0.8,0.7,15.2,3.1,0.2,0.5,5.4,1.6,2,2.5,3,0.9,7.24,6.91
0.1-0.35,20-40,196,129,121,5,1,2,8.8,2.6,0.11,0.5,2.9,3.9,2,2.5,3,0.9,6.62,4.91
0.1-0.35,40-80,51,41,38.1,2,0.4,0.5,15.6,2,0.07,0.5,1.4,13,2,2.5,3,0.9,14.1,3.92
0.35-0.6,0-5,164,101,91.4,7,1,1,9.95,1.4,0.05,0.5,2.9,7.7,2,2.5,3,0.9,9.37,9.35
0.35-0.6,5-10,128,77,71.8,3,1,1,11.4,2.5,0.19,0.5,2,2.4,2,2.5,3,0.9,5.49,7.8
0.35-0.6,10-15,102,62,56.7,3,1,0.9,12.7,4.6,0.19,0.5,3,8.7,2,2.5,3,0.9,10.2,9.77
0.35-0.6,15-20,92.7,60,56.9,1,0.8,0.9,12.9,3.1,0.16,0.5,1.1,9.6,2,2.5,3,0.9,10.7,7.23
0.35-0.6,20-40,163,112,105,4,2,2,9.45,2.7,0.13,0.5,2.1,5.4,2,2.5,3,0.9,7.34,4.71
0.35-0.6,40-80,43,36,33.3,2,0.5,0.4,16.7,2,0.09,0.5,4,3.1,2,2.5,3,0.9,6.74,3.92
0.6-0.8,0-5,89.1,59,53.7,3,2,0.9,13,1,0.04,0.5,3.5,8.5,2,2.5,3,0.9,10.3,7.68
0.6-0.8,5-10,105,65,61.1,2,1,1,12.4,1.8,0.19,0.5,2.3,1.5,2,2.5,3,0.9,5.28,6.84
0.6-0.8,10-15,73.5,50,46.2,2,1,0.7,14.1,3.3,0.22,0.5,2.8,8.4,2,2.5,3,0.9,9.9,8.4
0.6-0.8,15-20,70.3,44,41.7,0.8,0.8,0.7,15.1,2.3,0.21,0.5,2.4,12,2,2.5,3,0.9,13.2,6.29
0.6-0.8,20-40,107,78,73.2,2,2,1,11.3,2,0.14,0.5,0.7,4.9,2,2.5,3,0.9,6.69,4.08
0.6-0.8,40-80,41.5,36,33.8,1,0.5,0.5,16.7,1.5,0.09,0.5,2.9,12,2,2.5,3,0.9,12.7,3.73
0.8-1.05,0-5,160,100,89.7,6,2,1,10,1.4,0.07,0.5,1.9,6.9,2,2.5,3,0.9,8.44,8.43
0.8-1.05,5-10,106,67,61.9,2,2,1,12.2,2.4,0.25,0.5,2,5.7,2,2.5,3,0.9,7.58,7.02
0.8-1.05,10-15,83.8,58,52.6,3,2,0.8,13.1,4.5,0.24,0.5,3.4,3.1,2,2.5,3,0.9,6.44,8.91
0.8-1.05,15-20,74.6,50,46.9,1,1,0.7,14.1,3.1,0.22,0.5,1.4,4,2,2.5,3,0.9,6.2,6.6
0.8-1.05,20-40,146,114,106,4,2,1,9.37,2.6,0.11,0.5,3.2,9.3,2,2.5,3,0.9,10.9,4.46
0.8-1.05,40-80,34.3,31,28.4,1,0.8,0.4,18,2,0.14,0.5,2.3,1.6,2,2.5,3,0.9,5.33,4
1.05-1.3,0-5,83.6,44,37.8,3,2,0.6,15.1,1.8,0.1,0.5,6.4,15,2,2.5,3,0.9,17.2,7.99
1.05-1.3,5-10,70.8,37,33,2,2,0.5,16.4,3.1,0.51,0.5,2,13,2,2.5,3,0.9,13.6,6.8
1.05-1.3,10-15,95.5,49,43.7,3,1,0.7,14.3,5.7,0.36,0.5,3.1,1.1,2,2.5,3,0.9,5.59,9.31
1.05-1.3,15-20,67.4,34,31.5,1,1,0.5,17.1,3.8,0.33,0.5,3.3,9.7,2,2.5,3,0.9,11.2,6.95
1.05-1.3,20-40,151,90,82.4,4,2,1,10.5,3.2,0.18,0.5,1.1,3.9,2,2.5,3,0.9,6.07,4.56
1.05-1.3,40-80,48.8,35,31.8,2,0.8,0.4,16.9,2.5,0.12,0.5,2.3,7,2,2.5,3,0.9,8.65,4.03
1.3-1.55,0-5,126,67,59.7,4,2,1,12.2,1.4,0.13,0.5,3.6,6.6,2,2.5,3,0.9,8.8,8.01
1.3-1.55,5-10,111,61,56.1,2,2,0.9,12.8,2.4,0.33,0.5,0.34,13,2,2.5,3,0.9,13.4,6.76
1.3-1.55,10-15,90.7,53,48,3,1,0.8,13.7,4.4,0.3,0.5,1.5,6,2,2.5,3,0.9,7.66,8.75
1.3-1.55,15-20,71.7,41,38.2,1,1,0.6,15.6,3,0.36,0.5,3.3,6.6,2,2.5,3,0.9,8.66,6.29
1.3-1.55,20-40,162,104,96.1,4,3,2,9.81,2.6,0.22,0.5,0.32,3,2,2.5,3,0.9,5.44,4.18
1.3-1.55,40-80,50.3,39,35.9,2,0.9,0.5,16,1.9,0.1,0.5,2.9,6.4,2,2.5,3,0.9,8.34,3.93
1.55-1.85,0-5,145,76,69.8,2,3,1,11.5,0.68,0.11,0.5,1.6,3.4,2,2.5,3,0.9,5.88,6.14
1.55-1.85,5-10,106,57,52.6,1,2,0.9,13.2,1.2,0.46,0.5,1.6,5.8,2,2.5,3,0.9,7.51,5.29
