bin1,bin2,mu,stat,syst1,syst2
0-5,45.9,1232,50,33,35
5-10,157.8,991.2,44,27,27
10-15,239.5,786,38,26,24
15-20,281.9,601.8,32,17,20
20-40,330.3,1349,46,22,34
40-80,382.2,428.2,24,5.8,15
