0,0,149.851,4.18302,2.40885,18.5633,5.55397,1.27033,9.32211,2.90288,3.14446,2,17.8365
0,1,127.138,3.77983,2.33968,16.6243,5.43702,3.36181,7.74644,2.90944,3.40889,2,14.5215
0,2,88.0702,3.58618,1.77847,14.6814,3.28595,0.957542,5.6095,4.25956,4.1568,2,8.08094
0,3,70.9501,2.0011,1.47558,12.2382,3.77243,4.84029,5.89196,2.68428,3.86455,2,7.09751
0,4,194.821,5.95571,2.4653,18.9405,3.25456,3.04287,4.8842,2.61881,2.05111,2,15.2165
0,5,50.5527,2.3682,0.806139,8.88266,3.91229,1.75505,11.7207,3.31931,2.21947,2,6.72581
1,0,163.801,5.05337,2.8112,18.58,4.77293,2.09053,4.11869,2.93954,3.42672,2,13.5567
1,1,125.858,3.9304,2.68158,16.35,4.65376,2.46661,12.242,2.96048,3.76694,2,18.2267
1,2,99.7604,4.5039,2.12064,14.9238,1.48895,2.4409,8.48358,4.31193,4.26071,2,11.0286
1,3,90.6946,2.82805,1.52012,13.0728,2.45537,0.974797,14.5186,2.69421,2.94549,2,14.0206
1,4,161.884,5.23716,3.08866,17.1283,1.67992,2.01229,2.80304,2.67846,2.9898,2,9.83722
1,5,42.4561,2.10606,0.978818,8.06397,2.72147,5.26934,13.3378,3.39221,2.85448,2,6.54898
2,0,89.1016,2.21729,3.1307,13.3219,5.15565,5.23923,8.61049,2.19109,5.3035,2,11.4487
2,1,102.756,2.44278,2.49557,14.3076,4.93246,3.60925,5.63376,2.15656,4.18759,2,10.2761
2,2,70.2762,2.6207,2.20773,11.6727,2.33842,2.71541,6.683,3.14559,5.00511,2,6.93859
2,3,68.9126,1.52691,1.56685,11.5609,3.01595,1.71843,10.5836,1.97903,4.07966,2,8.43981
2,4,105.96,2.68533,3.01412,13.4079,2.43473,1.6796,4.05933,1.96867,4.00528,2,7.56565
2,5,41.1433,1.55058,0.950258,7.62081,3.19997,2.38016,7.9002,2.45411,2.82184,2,4.06062
3,0,160.773,4.92537,4.79444,18.6536,5.02505,0.640566,4.63974,2.89228,4.78936,2,14.6022
3,1,101.068,3.25074,3.64832,14.601,4.91533,2.42921,14.7992,2.91685,6.08867,2,17.6039
3,2,81.036,4.06554,3.05253,12.8518,1.98887,3.05039,9.51804,4.23627,6.11864,2,10.3863
3,3,72.2537,2.27404,2.28907,11.7463,2.79743,2.69869,8.45304,2.65343,5.04099,2,8.05346
3,4,144.136,5.1437,4.46208,15.3502,2.09879,3.41172,6.04557,2.61212,4.21546,2,13.1169
3,5,33.5003,1.74994,1.49143,7.06197,3.0517,2.56028,3.96108,3.34206,5.74741,2,3.01176
4,0,82.416,2.66712,4.02316,15.7272,5.52234,5.16773,19.8575,3.79004,12.0687,2,20.4474
4,1,62.682,2.12157,3.63825,13.6861,5.44855,1.04888,18.8975,3.84672,13.1543,2,15.1887
4,2,91.763,4.22704,2.82575,16.3781,2.44769,4.56168,5.71651,5.34257,5.83045,2,10.3805
4,3,64.3915,1.90308,2.04645,13.2002,3.16169,5.90903,8.99988,3.35743,8.82182,2,9.57733
4,4,146.99,4.99763,4.60793,18.2475,2.51328,1.17302,10.9821,3.29614,5.87183,2,19.7481
4,5,47.6324,2.43153,1.53282,9.58023,3.34797,2.49745,13.2001,4.1539,5.33062,2,7.42641
5,0,123.639,3.19911,4.04633,18.0095,5.78408,2.78432,1.15498,2.88663,7.19676,2,12.7694
5,1,105.836,2.90828,3.73823,16.1942,5.65716,0.943326,6.60458,2.89032,6.75441,2,12.5605
5,2,86.009,3.58707,2.86557,14.4372,3.42055,1.41082,0.3083,4.17538,6.20889,2,7.4597
5,3,69.1459,1.8351,2.351,12.6258,3.92095,3.63423,9.26292,2.64282,7.22675,2,9.25876
5,4,154.322,4.48476,5.15288,17.7669,3.4299,0.681837,7.57501,2.60235,5.87603,2,16.7173
5,5,49.2191,2.16657,1.72664,9.18199,4.06647,2.64077,18.1272,3.2719,4.84934,2,9.74195
6,0,141.743,1.83397,5.04025,18.8263,4.97863,2.02638,9.71142,1.42723,7.35486,2,19.1922
6,1,100.468,1.36937,4.84508,15.9173,4.93435,0.231031,4.03488,1.45818,10.0996,2,12.5238
6,2,76.4365,1.60081,3.34182,13.2877,1.91275,2.28941,10.9137,2.06708,8.14402,2,10.9179
6,3,42.5352,0.587077,2.62884,10.0908,2.8717,9.37542,12.4501,1.36593,11.8507,2,8.49785
6,4,152.502,2.15048,5.61503,17.6061,2.05407,0.894087,1.3198,1.29244,7.31466,2,12.6208
6,5,55.108,1.14905,1.96595,9.66141,2.93151,1.78758,5.67722,1.60811,5.30685,2,4.9387
7,0,125.305,0.904552,3.79574,19.7066,5.16509,1.6468,2.80678,0.992778,7.86162,2,12.7822
7,1,99.209,0.750949,3.41408,17.2843,5.05551,2.79475,12.1711,0.999909,8.84385,2,16.4441
7,2,65.2002,0.874403,2.52393,12.553,2.37331,1.60116,7.26606,1.42193,7.54706,2,7.30716
7,3,56.8125,0.457031,2.03624,12.0281,3.10173,4.16786,14.4495,0.914235,7.67208,2,9.86795
7,4,111.13,1.00062,4.0642,15.6705,2.49269,3.84479,4.1812,0.899847,6.82174,2,10.7091
7,5,49.2078,0.645497,1.34735,9.38775,3.20031,0.713881,9.99377,1.10369,4.36394,2,5.75393
8,0,196.997,1.67424,3.28544,27.1862,5.27327,1.97659,2.71298,1.45434,4.56911,2,16.0122
8,1,161.086,1.42056,2.64606,24.0396,5.12367,1.90143,13.3391,1.45016,3.67692,2,25.1088
8,2,127.611,1.84117,2.50289,20.3477,2.73244,1.96894,5.25602,2.0923,4.23553,2,10.5491
8,3,63.9859,0.655875,1.70428,13.7506,3.39532,2.11352,0.11694,1.35608,6.58926,2,5.28698
8,4,177.715,1.97526,3.44375,21.2347,2.80527,2.71466,4.58265,1.31615,4.33222,2,14.3283
8,5,60.8769,1.07571,1.16035,10.969,3.47683,1.16029,21.7499,1.64052,0.26956,2,13.551
