0,0,112,10.583,5.04403
0,1,75,8.66025,6.34414
0,2,72,8.48528,10.4288
0,3,79,8.88819,3.05142
0,4,131,11.4455,7.17661
0,5,65,8.06226,8.86692
1,0,83,9.11043,3.79882
1,1,85,9.21954,12.2474
1,2,72,8.48528,5.44722
1,3,65,8.06226,4.88056
1,4,135,11.619,5.47883
1,5,53,7.28011,4.63403
2,0,101,10.0499,9.17721
2,1,47,6.85565,5.95695
2,2,68,8.24621,3.44043
2,3,52,7.2111,5.61998
2,4,117,10.8167,5.20953
2,5,41,6.40312,4.61747
3,0,98,9.89949,4.41031
3,1,84,9.16515,6.05689
3,2,75,8.66025,8.83323
3,3,53,7.28011,13.9887
3,4,132,11.4891,17.7039
3,5,60,7.74597,2.80847
4,0,65,8.06226,15.3823
4,1,54,7.34847,5.138
4,2,47,6.85565,5.77382
4,3,39,6.245,4.81491
4,4,98,9.89949,9.12639
4,5,39,6.245,8.0532
5,0,77,8.77496,14.1943
5,1,57,7.54983,7.60754
5,2,41,6.40312,4.47801
5,3,37,6.08276,3.1389
5,4,100,10,10.9187
5,5,38,6.16441,4.09229
6,0,66,8.12404,5.42952
6,1,38,6.16441,4.11213
6,2,47,6.85565,1.88198
6,3,30,5.47723,3.34815
6,4,109,10.4403,3.3338
6,5,29,5.38516,4.93792
7,0,43,6.55744,3.43638
7,1,24,4.89898,1.23873
7,2,28,5.2915,2.18549
7,3,25,5,1.73702
7,4,66,8.12404,7.12012
7,5,18,4.24264,1.19135
8,0,30,5.47723,3.004
8,1,29,5.38516,4.16034
8,2,22,4.69042,4.15893
8,3,21,4.58258,2.29875
8,4,57,7.54983,8.50266
8,5,19,4.3589,2.74093
