bin,muPlus,statPlus,systPlus1,systPlus2
0.1-0.35,673,33,24,22
0.35-0.6,677,32,25,26
0.6-0.8,477,26,15,18
0.8-1.05,592,29,21,24
1.05-1.3,499,30,16,23
1.3-1.55,590,31,19,23
1.55-1.85,577,31,14,20
1.85-2.1,514,32,12,15
2.1-2.4,789,45,22,24
