range,mpt,iso,qcd,ew
0-5,0.792,1.01,1.15,0.00298
5-10,4.18,0.654,2.01,0.0113
10-15,2.09,0.778,3.76,0.00985
15-20,2.98,0.755,2.64,0.00951
20-40,3.72,0.388,2.17,0.00562
40-80,6.51,0.678,1.66,0.00326
