0,0,181.466,118,105.362,11.2584,1.37962,19.6854,4.55652,2.39595,2.52753,2.87933,2.0751,2,2.5,3,0.9,14.6917
0,1,125.534,79,71.0714,6.53792,1.39068,16.4682,0.428441,2.33508,8.01061,2.90905,2.9782,2,2.5,3,0.9,12.9973
0,2,111.697,75,66.9927,6.98436,1.02297,15.1905,2.00094,1.51535,14.6479,4.20831,2.87881,2,2.5,3,0.9,18.2486
0,3,122.683,83,76.4484,5.71311,0.838455,15.1863,0.805293,0.60723,4.3737,2.63992,1.9781,2,2.5,3,0.9,8.76891
0,4,197.023,137,125.884,9.78921,1.32675,19.048,2.21291,1.53995,5.40346,2.61744,2.00154,2,2.5,3,0.9,16.1731
0,5,76.5588,66,59.7021,5.87575,0.422159,10.9036,0,1.51358,9.39465,3.29336,1.38085,2,2.5,3,0.9,8.50331
1,0,133.667,90,78.8429,9.515,1.64206,17.0514,4.64424,1.36297,5.38578,2.95765,3.82365,2,2.5,3,0.9,13.0872
1,1,136.002,90,80.195,8.25329,1.55172,16.9423,0.432567,1.04876,13.8165,2.95041,4.1172,2,2.5,3,0.9,20.9768
1,2,100.57,74,65.2126,7.63605,1.15132,14.032,2.02815,3.77171,8.7465,4.28912,3.26054,2,2.5,3,0.9,12.0654
1,3,95.8493,66,60.1566,5.03397,0.809474,13.5052,0.813777,2.19556,2.68535,2.68904,2.51606,2,2.5,3,0.9,6.52306
1,4,187.242,142,129.091,11.2431,1.66558,18.0528,2.23669,0.975322,4.59857,2.66428,2.49194,2,2.5,3,0.9,14.5603
1,5,60.4451,55,49.0684,5.42567,0.505939,9.61569,0,1.66465,16.3618,3.36029,2.10006,2,2.5,3,0.9,10.5777
2,0,154.681,108,98.1458,8.11398,1.74022,17.1095,4.477,2.75842,1.13967,2.13881,3.41494,2,2.5,3,0.9,12.4945
2,1,69.0313,49,44.3948,3.19319,1.41199,11.3846,0.425424,2.38365,16.0138,2.19111,5.73338,2,2.5,3,0.9,12.3494
2,2,98.6304,70,63.6653,5.13309,1.20162,13.5353,1.96514,2.81885,5.07467,3.10257,3.45425,2,2.5,3,0.9,8.77632
2,3,71.66,54,50.1809,2.92687,0.892185,10.8586,0.798177,2.58408,13.1901,1.96737,3.33862,2,2.5,3,0.9,10.5409
2,4,153.727,120,111.647,6.75187,1.60159,15.5994,2.1855,1.19862,8.46522,1.94228,2.79889,2,2.5,3,0.9,16.0892
