0,0,184.791,147.506
0,1,126.276,125.855
0,2,111.31,86.636
0,3,120.884,70.2185
0,4,194.002,193.114
0,5,76.9329,49.9521
1,0,133.145,160.645
1,1,135.165,124.656
1,2,101.937,97.9018
1,3,97.5141,89.6764
1,4,183.761,160.398
1,5,59.8167,42.0264
2,0,151.476,88.5264
2,1,68.2059,101.963
2,2,98.5729,69.557
2,3,70.9768,68.3
2,4,152.845,105.45
2,5,44.7735,40.8223
3,0,156.134,159.063
3,1,126.913,100.137
3,2,103.52,79.7789
3,3,72.6444,71.6056
3,4,164.278,142.956
3,5,64.0699,33.0014
4,0,126.031,79.7327
4,1,100.393,61.4205
4,2,87.513,90.9254
4,3,65.9316,62.3999
4,4,152.373,145.167
4,5,50.3376,46.7861
5,0,139.619,121.326
5,1,95.3653,105.085
5,2,61.858,84.9025
5,3,60.04,68.0052
5,4,145.551,152.602
5,5,46.4528,48.7106
6,0,120.616,140.713
6,1,66.6093,99.5932
6,2,85.512,75.9091
6,3,51.6488,42.2243
6,4,176.545,150.43
6,5,37.4465,54.758
7,0,96.1347,124.631
7,1,44.7461,98.6638
7,2,54.493,65.0087
7,3,47.2531,56.6403
7,4,116.03,110.885
7,5,26.2043,49.0331
8,0,93.0318,197.072
8,1,78.008,162.583
8,2,49.6923,128.182
8,3,46.3199,63.7463
8,4,113.054,176.94
8,5,30.4541,62.418
