0,0,183.541,112,101.747,7.2661,1.31259,10.4405,3.79206,2.49,3.79,2,2.5,3,0.9,7.41646
0,1,125.806,75,68.0951,4.46692,1.27045,12.7562,3.48327,2.57,4.92,2,2.5,3,0.9,7.93754
0,2,111.209,72,63.8703,6.10283,0.965475,13.3703,5.07372,3.02,15.52,2,2.5,3,0.9,17.1986
0,3,120.176,79,72.6916,4.34474,0.798718,12.2671,3.17377,2.09,5.72,2,2.5,3,0.9,8.19874
0,4,192.914,131,120.62,7.14745,1.31847,9.5018,3.14649,0.66,3.3,2,2.5,3,0.9,6.42542
0,5,76.279,65,59.1916,4.43693,0.430288,13.6291,3.98031,1.18,4.71,2,2.5,3,0.9,7.71229
1,0,133.606,83,74.7898,5.45376,1.50827,12.2195,3.87211,2.57,7.23,2,2.5,3,0.9,9.6918
1,1,136.252,85,77.1922,5.12744,1.42719,11.9853,3.52713,1.53,8.2,2,2.5,3,0.9,10.1035
1,2,101.964,72,63.6647,6.18109,1.12336,13.4168,5.15539,7.1,13.91,2,2.5,3,0.9,17.0451
1,3,97.1721,65,59.5974,3.62063,0.810312,13.5663,3.22591,2,3.07,2,2.5,3,0.9,6.62506
1,4,183.236,135,123.947,7.46015,1.64309,9.38828,3.196,1.35,6.12,2,2.5,3,0.9,8.33974
1,5,59.5479,53,48.0651,3.6642,0.517771,15.1556,4.04803,0.43,7.16,2,2.5,3,0.9,9.37534
2,0,151.588,101,92.8477,4.88612,1.68261,10.8492,2.79439,1.18,5.33,2,2.5,3,0.9,7.59407
2,1,69.0166,47,42.8636,2.08739,1.3361,16.0217,2.58589,3.97,5.86,2,2.5,3,0.9,8.76626
2,2,98.6515,68,61.5408,4.298,1.16687,13.4497,3.7085,2.28,6.93,2,2.5,3,0.9,9.32932
2,3,71.0459,52,48.2433,2.13255,0.83225,14.9705,2.34724,2,16.79,2,2.5,3,0.9,17.6486
2,4,152.647,117,108.924,4.76019,1.59953,9.9397,2.32058,2.55,10.19,2,2.5,3,0.9,11.6526
2,5,44.6252,41,37.8133,2.08695,0.500742,16.9411,2.93064,3.13,7.03,2,2.5,3,0.9,9.37371
3,0,157.927,98,87.77,6.21351,2.55504,11.3241,3.75911,2.06,4.63,2,2.5,3,0.9,7.73766
3,1,127.863,84,75.9002,4.88938,1.93692,12.1188,3.42062,0.99,3.29,2,2.5,3,0.9,6.60037
3,2,104.327,75,66.1117,6.21279,1.615,13.1891,4.99003,1.14,9.71,2,2.5,3,0.9,11.8551
3,3,73.1962,53,48.1852,2.84866,1.21363,15.1493,3.13922,1.49,17.68,2,2.5,3,0.9,18.5666
3,4,164.505,132,120.717,7.03851,2.35551,9.53342,3.09604,3.42,6.26,2,2.5,3,0.9,8.97382
3,5,63.9002,60,54.3427,4.00265,0.787959,14.2659,3.91112,0.25,5.33,2,2.5,3,0.9,7.98926
