6,0,142.249,75,68.3687,2.8347,2.60295,1.19362,11.547,0.68,0.11,0.5,1.64,7.71,2,2.5,3,0.9,9.0799,6.49498
6,1,101.683,56,50.3875,2.22628,2.49318,0.893012,13.3631,1.17,0.44,0.5,1.63,9.23,2,2.5,3,0.9,10.4002,6.6182
6,2,75.9392,46,40.7903,2.80156,1.71383,0.694334,14.7442,2.15,0.39,0.5,4.05,12.45,2,2.5,3,0.9,13.8469,8.64833
6,3,43.2975,26,23.1924,1.05843,1.35487,0.394252,19.6116,1.52,0.57,0.5,9.35,12.5,2,2.5,3,0.9,16.2477,6.92188
6,4,152.046,96,87.9703,3.68316,2.8749,1.47162,10.2062,1.26,0.26,0.5,1.46,1.05,2,2.5,3,0.9,4.85253,4.13811
6,5,54.8588,41,37.7137,1.72442,1.00647,0.555433,15.6174,0.95,0.11,0.5,1.92,11.4,2,2.5,3,0.9,12.408,3.91555
7,0,126.391,53,48.7184,1.39813,1.95957,0.923921,13.7361,0.47,0.14,0.5,1.97,7.89,2,2.5,3,0.9,9.29749,5.94368
7,1,100.384,44,40.3067,1.22087,1.74351,0.728894,15.0756,0.81,0.41,0.5,3.1,1.11,2,2.5,3,0.9,5.58152,6.18637
7,2,65.2049,36,32.604,1.53028,1.29853,0.567186,16.6667,1.48,0.36,0.5,1.79,5.77,2,2.5,3,0.9,7.53739,7.70656
7,3,57.1172,29,26.6489,0.823976,1.04941,0.477742,18.5695,1.04,0.45,0.5,3.23,17.06,2,2.5,3,0.9,17.9385,6.65276
7,4,111.668,64,59.2209,1.71378,2.08389,0.981448,12.5,0.87,0.26,0.5,4.11,3.22,2,2.5,3,0.9,6.8972,3.80548
7,5,48.9891,33,30.8694,0.968722,0.686806,0.475107,17.4078,0.65,0.08,0.5,0.96,12.17,2,2.5,3,0.9,13.0131,3.79066
8,0,195.686,66,60.634,2.5878,1.69688,1.08132,12.3091,0.7,0.06,0.5,3.99,5.24,2,2.5,3,0.9,7.98051,7.08254
8,1,159.359,56,51.3766,2.30951,1.36169,0.952152,13.3631,1.19,0.25,0.5,2.21,8.38,2,2.5,3,0.9,9.76839,7.71488
8,2,125.081,51,45.7311,3.22221,1.28225,0.764407,14.0028,2.2,0.24,0.5,1.63,8.37,2,2.5,3,0.9,9.64614,9.59506
8,3,63.7023,28,25.5262,1.18247,0.8786,0.412712,18.8982,1.55,0.28,0.5,2.78,4.76,2,2.5,3,0.9,7.12049,7.79579
8,4,175.464,85,78.573,3.38306,1.76713,1.2768,10.8465,1.3,0.14,0.5,2.96,5.56,2,2.5,3,0.9,7.74522,4.47858
8,5,60.0401,37,34.2861,1.61437,0.592304,0.507267,16.4399,0.98,0.09,0.5,0.91,14.12,2,2.5,3,0.9,14.8497,3.8122
