0,0,145.121,83,73.996,6.46552,1.24362,12.3704,4.6397,1.14,13.49,2,2.5,3,0.9,14.9955
0,1,122.613,75,66.429,6.14515,1.2037,13.1095,4.91213,3.27,4.68,2,2.5,3,0.9,8.76266
0,2,82.9353,50,42.0329,6.27613,0.914746,16.9821,7.92861,4.05,8.52,2,2.5,3,0.9,13.1117
0,3,68.1978,43,37.9901,3.60777,0.756751,17.3201,5.04269,5.44,4.54,2,2.5,3,0.9,9.78233
0,4,186.808,129,115.62,10.2004,1.2492,9.84963,4.6847,2.9,3.24,2,2.5,3,0.9,7.80474
0,5,48.7826,41,36.5012,3.55404,0.407679,17.5528,5.17023,1.38,14.47,2,2.5,3,0.9,16.0648
1,0,158.58,99,88.2306,7.81079,1.45135,11.342,4.70078,2.9,10.36,2,2.5,3,0.9,12.5657
1,1,121.716,77,68.0716,6.38993,1.37332,12.9672,4.98453,2.01,14.74,2,2.5,3,0.9,16.316
1,2,93.9236,62,52.1355,7.88221,1.08096,15.2839,8.02802,2.99,8.3,2,2.5,3,0.9,12.7412
1,3,86.7282,60,53.218,5.09866,0.779729,14.6232,5.08735,1.1,9.68,2,2.5,3,0.9,11.8682
1,4,155.848,112,99.8087,8.96976,1.58107,10.63,4.77208,2.13,2.11,2,2.5,3,0.9,7.19873
1,5,41.1302,36,31.8872,3.16064,0.498229,18.8287,5.26325,3.97,8.09,2,2.5,3,0.9,11.3565
2,0,88.1209,59,53.0615,3.42718,1.61682,14.5145,3.42966,3.55,1.62,2,2.5,3,0.9,6.85926
2,1,100.488,65,58.7358,3.9714,1.28386,13.7685,3.59034,2.31,2.18,2,2.5,3,0.9,6.56041
2,2,67.7437,49,42.5798,4.58646,1.12125,16.5328,5.71964,2.79,6.22,2,2.5,3,0.9,9.96227
2,3,66.9679,44,39.7519,2.75285,0.799711,16.724,3.67722,2.41,12.41,2,2.5,3,0.9,13.9068
2,4,103.663,78,70.7337,4.5992,1.53699,12.5024,3.45264,0.7,3.32,2,2.5,3,0.9,6.59493
2,5,40.192,36,32.7246,2.32702,0.481164,18.3443,3.77591,2.87,3.48,2,2.5,3,0.9,7.39356
3,0,157.347,100,88.3567,7.61294,2.47588,11.3866,4.57518,1.87,10.21,2,2.5,3,0.9,12.1956
3,1,98.8789,66,57.8206,5.28497,1.87691,14.1254,4.85349,2.03,11.49,2,2.5,3,0.9,13.4074
3,2,77.2632,58,48.513,7.11504,1.56497,15.8714,7.78778,3.42,10.71,2,2.5,3,0.9,14.3913
3,3,70.0038,50,44.022,4.09985,1.17603,16.1296,4.94529,1.35,4.62,2,2.5,3,0.9,8.22696
3,4,139.957,114,101.368,8.8097,2.28253,10.5616,4.61482,3.23,5.7,2,2.5,3,0.9,9.18038
3,5,32.8449,31,27.2156,2.6262,0.763547,20.479,5.12395,2.32,9,2,2.5,3,0.9,11.5194
4,0,81.9168,44,37.0837,4.12245,2.06706,17.9785,5.90292,6.43,11.22,2,2.5,3,0.9,14.9043
4,1,62.4418,35,29.1281,3.44919,1.87177,20.4199,6.2878,2.01,7.33,2,2.5,3,0.9,10.8335
4,2,86.1849,49,39.3973,7.39769,1.45371,18.0144,9.97066,3.08,11.51,2,2.5,3,0.9,16.1691
4,3,62.1317,34,28.9959,3.43105,1.05059,20.1992,6.28327,3.35,7.44,2,2.5,3,0.9,11.2301
4,4,142.224,90,77.7878,8.55951,2.35573,12.2369,5.84295,1.08,1.71,2,2.5,3,0.9,7.63482
4,5,46.2208,35,30.1159,3.64909,0.783645,19.669,6.43403,2.26,7.17,2,2.5,3,0.9,10.8616
5,0,121.604,66,57.7876,4.94474,2.08901,14.1217,4.54363,3.6,13.1,2,2.5,3,0.9,15.0091
5,1,103.791,60,52.3226,4.72821,1.9172,14.8795,4.79845,0.34,9.15,2,2.5,3,0.9,11.266
5,2,82.0063,52,43.4277,6.27768,1.46889,16.7675,7.67586,1.55,6,2,2.5,3,0.9,10.8343
5,3,67.2233,41,35.7903,3.30848,1.19562,17.9584,4.9086,3.29,10.47,2,2.5,3,0.9,12.8296
5,4,150.417,101,89.0504,7.68111,2.64336,11.3175,4.58018,0.32,9.61,2,2.5,3,0.9,11.5539
5,5,48.1094,39,34.3153,3.25145,0.885167,18.2216,5.03135,2.89,16.25,2,2.5,3,0.9,17.8266
6,0,141.88,75,68.1918,2.8347,2.60295,12.7318,2.20734,1.64,7.71,2,2.5,3,0.9,9.33092
6,1,101.486,56,50.2902,2.22628,2.49318,14.9241,2.35066,1.63,9.23,2,2.5,3,0.9,10.6506
6,2,75.7387,46,40.6826,2.80156,1.71383,16.729,3.65667,4.05,12.45,2,2.5,3,0.9,14.3121
6,3,43.1918,26,23.1358,1.05843,1.35487,22.0937,2.42926,9.35,12.5,2,2.5,3,0.9,16.4205
6,4,151.729,96,87.7872,3.68316,2.8749,11.179,2.22784,1.46,1.05,2,2.5,3,0.9,5.31576
6,5,54.7666,41,37.6503,1.72442,1.00647,17.0252,2.43203,1.92,11.4,2,2.5,3,0.9,12.6341
7,0,126.259,53,48.6676,1.39813,1.95957,14.9894,1.52546,1.97,7.89,2,2.5,3,0.9,9.40851
7,1,100.187,44,40.2277,1.22087,1.74351,16.5235,1.61153,3.1,1.11,2,2.5,3,0.9,5.78784
7,2,65.1503,36,32.5767,1.53028,1.29853,18.4592,2.49435,1.79,5.77,2,2.5,3,0.9,7.92331
7,3,57.0155,29,26.6014,0.823976,1.04941,20.2787,1.64477,3.23,17.06,2,2.5,3,0.9,18.0067
